Source,Target
GMT,SLCO1B3
GMT,LCN12
GMT,APOD
GMT,SFTPB
GMT,SFTPC
GMT,GCKR
GMT,KCNJ11
GMT,ABCC8
GMT,AVPR2
GMT,SFTPD
GMT,AVPR1A
GMT,AVPR1B
GMT,GCK
GMT,SFTPA1
GMT,SFTPA2
GMT,CFTR
GMT,ABCA3
GMT,NAPSA
GMT,CCDC59
GMT,PGA4
GMT,ADRA2C
GMT,PGA3
GMT,CKAP4
GMT,PGA5
GMT,ADRA2A
GMT,CECR1
GMT,ADORA2B
GMT,ADORA2A
GMT,SFTA3
GMT,GATA6
GMT,ZDHHC2
GMT,CSF2RA
GMT,CSF2RB
GMT,TTF1
GMT,P2RY2
GMT,DMBT1
GMT,CTSH
GMT,LMCD1
GMT,ABCA2
GMT,ABCC4
GMT,ABCG8
GMT,ABCC5
GMT,PEX19
GMT,ABCC2
GMT,ABCC3
GMT,ABCA6
GMT,ABCA7
GMT,ABCC9
GMT,ABCA4
GMT,ABCC6
GMT,PEX3
GMT,ABCA8
GMT,ABCA9
GMT,EIF2S3
GMT,EIF2S2
GMT,EIF2S1
GMT,ABCA10
GMT,ABCB10
GMT,ABCA12
GMT,ABCC10
GMT,APOA1
GMT,ABCG1
GMT,ABCG4
GMT,ABCC1
GMT,ABCG5
GMT,ABCE1
GMT,ABCB4
GMT,ABCD3
GMT,ABCB1
GMT,RNASEL
GMT,ABCB7
GMT,ABCB8
GMT,ABCB5
GMT,ABCB6
GMT,ABCB9
GMT,ABCC11
GMT,ABCD1
GMT,ABCD2
GMT,ABCF1
GMT,CPT1B
GMT,CPT1A
GMT,PDHA1
GMT,PDHX
GMT,AKR1C3
GMT,DHRS3
GMT,DHRS4
GMT,CYP26A1
GMT,DHRS9
GMT,FABP5
GMT,ALDH1A1
GMT,CYP26C1
GMT,ALDH1A3
GMT,ALDH1A2
GMT,RDH5
GMT,RARB
GMT,DLD
GMT,RARA
GMT,ALDH8A1
GMT,PPARD
GMT,RARG
GMT,ADH1C
GMT,CRABP1
GMT,CRABP2
GMT,ADH1A
GMT,PDHB
GMT,ADH4
GMT,RXRA
GMT,CYP26B1
GMT,RXRB
GMT,RDH13
GMT,RDH11
GMT,RDH10
GMT,PDK4
GMT,RDH16
GMT,DLAT
GMT,RDH14
GMT,RXRG
GMT,PDK1
GMT,SDR16C5
GMT,PDK3
GMT,PDK2
GMT,PDE6G
GMT,MYO7A
GMT,RGS9BP
GMT,RBP3
GMT,RBP4
GMT,RBP1
GMT,RBP2
GMT,LRP10
GMT,AGRN
GMT,LRP12
GMT,LRP2
GMT,LRP1
GMT,HSD17B6
GMT,SDR9C7
GMT,LRP8
GMT,HSD17B1
GMT,GPC2
GMT,GPC1
GMT,GPC4
GMT,GPC3
GMT,GNAT1
GMT,GPC6
GMT,GPC5
GMT,LDLR
GMT,PPEF1
GMT,PRKCA
GMT,RPE65
GMT,CAMKMT
GMT,HSPG2
GMT,GNB1
GMT,CLPS
GMT,OPN1MW
GMT,NMT2
GMT,GNB5
GMT,SDC1
GMT,SDC2
GMT,PRKCQ
GMT,CNGB1
GMT,NMT1
GMT,PNLIP
GMT,LPL
GMT,NAPEPLD
GMT,PLB1
GMT,APOM
GMT,FNTB
GMT,FNTA
GMT,CYP4V2
GMT,APOE
GMT,LRAT
GMT,RGS9
GMT,APOB
GMT,APOA2
GMT,APOA4
GMT,AKR1B10
GMT,METAP1
GMT,OPN1SW
GMT,METAP2
GMT,GUCY2D
GMT,GUCY2F
GMT,SDC3
GMT,SDC4
GMT,GNGT1
GMT,GRK1
GMT,GRK4
GMT,OPN1LW
GMT,RDH12
GMT,GRK7
GMT,STRA6
GMT,CNGA1
GMT,RCVRN
GMT,AKR1C1
GMT,AKR1C4
GMT,APOC3
GMT,APOC2
GMT,SAG
GMT,RDH8
GMT,GUCA1C
GMT,GUCA1B
GMT,GUCA1A
GMT,RLBP1
GMT,TTR
GMT,RHO
GMT,PDE6B
GMT,BCO2
GMT,PDE6A
GMT,BCO1
GMT,HS3ST1
GMT,HS3ST3B1
GMT,B3GAT3
GMT,B3GAT2
GMT,GLCE
GMT,B3GAT1
GMT,HS3ST6
GMT,HS3ST4
GMT,HS3ST5
GMT,HS3ST2
GMT,VCAN
GMT,CSPG5
GMT,GLB1L
GMT,CSPG4
GMT,HS3ST3A1
GMT,IDUA
GMT,HPSE2
GMT,HS6ST1
GMT,HS6ST2
GMT,HS2ST1
GMT,HS6ST3
GMT,IDS
GMT,BGN
GMT,B3GALT6
GMT,DCN
GMT,EXT1
GMT,EXT2
GMT,BCAN
GMT,GLB1
GMT,HPSE
GMT,B4GALT7
GMT,NCAN
GMT,GXYLT2
GMT,GXYLT1
GMT,SGSH
GMT,NDST3
GMT,NDST2
GMT,NDST1
GMT,NAGLU
GMT,NDST4
GMT,GUSB
GMT,LUM
GMT,OMD
GMT,KERA
GMT,OGN
GMT,B3GNT7
GMT,CHST1
GMT,B3GNT4
GMT,B3GNT3
GMT,CHST2
GMT,B3GNT2
GMT,FMOD
GMT,CHST5
GMT,CHST6
GMT,B4GALT5
GMT,B4GALT6
GMT,B4GALT3
GMT,B4GALT4
GMT,B4GALT2
GMT,HEXA
GMT,HEXB
GMT,GNS
GMT,PRELP
GMT,ACAN
GMT,ST3GAL6
GMT,ST3GAL1
GMT,ST3GAL2
GMT,ST3GAL3
GMT,ST3GAL4
GMT,SBSPON
GMT,ADAMTS20
GMT,MUC5AC
GMT,MUC3A
GMT,MUC3B
GMT,SEMA5B
GMT,SEMA5A
GMT,ADAMTS13
GMT,ADAMTS12
GMT,ADAMTS10
GMT,ADAMTS17
GMT,MUC1
GMT,ADAMTS16
GMT,MUC2
GMT,ADAMTS15
GMT,C1GALT1C1
GMT,ADAMTS14
GMT,ADAMTS19
GMT,ADAMTS18
GMT,DAG1
GMT,MUCL1
GMT,MUC4
GMT,MUC6
GMT,MUC7
GMT,MUC5B
GMT,MUC17
GMT,C1GALT1
GMT,MUC19
GMT,SSPO
GMT,MUC20
GMT,MUC21
GMT,NOTCH3
GMT,NOTCH4
GMT,NOTCH1
GMT,SPON2
GMT,NOTCH2
GMT,SPON1
GMT,THBS1
GMT,THSD1
GMT,CFP
GMT,THBS2
GMT,THSD4
