Year,alzheimer,dementia,parkinson's disease,huntington disease,depression,anxiety,bipolar disorder,schizophrenia,autism
1945,9.749914688246477,116.99897625895774,14.624872032369717,0,116.99897625895774,126.74889094720422,24.374786720616193,97.49914688246477,0
1946,16.688609097146248,155.760351573365,14.834319197463332,9.271449498414583,127.94600307812122,142.78032227558458,42.64866769270708,118.67455357970665,1.8542898996829165
1947,7.686395080707149,118.37048424289007,9.223674096848578,3.0745580322828596,101.46041506533436,139.8923904688701,19.984627209838585,113.7586471944658,3.0745580322828596
1948,9.893014118744436,66.42452336871263,11.306301849993641,5.653150924996821,79.14411294995548,128.60918354367766,5.653150924996821,134.26233446867448,1.4132877312492051
1949,14.325051331433936,81.17529087812564,39.79180925398316,3.1833447403186526,89.13365272892227,200.55071864007513,17.508396071752593,186.2256673086412,1.5916723701593263
1950,6.993659082431928,46.624393882879524,34.96829541215964,2.3312196941439765,108.40171577769489,102.57366654233495,47.79000372995151,200.48489369638196,2.3312196941439765
1951,16.37433659856869,41.417439631673744,52.01259860721819,3.852785082016162,91.50364569788385,116.54674873098891,36.60145827915354,222.49833848643337,4.815981352520203
1952,11.09241833207003,50.84025068865431,61.93266902072434,4.621840971695845,139.57959734521455,134.9577563735187,44.36967332828012,247.73067608289736,3.6974727773566767
1953,17.443354999816385,58.75656420990783,67.01920605192612,4.5903565788990495,124.85769894605413,167.08897947192537,37.6409239469722,261.6503249972458,2.754213947339429
1954,16.9904287251515,62.29823865888883,72.68127843537029,7.551301655622887,147.2503822846463,153.85777123331633,42.47607181287874,297.3325026901512,4.719563534764305
1955,15.659254619480114,62.637018477920456,60.79475322856985,10.132458871428309,173.17293343895656,149.22348519739873,35.00303973766143,303.97376614284923,0.9211326246753007
1956,10.278836809449055,72.8862973760933,99.98504896464081,12.147716229348882,169.13358750093445,177.54354489048367,43.91866636764596,326.11945877252,4.67219854974957
1957,9.862905611993293,75.31673376431242,54.69429475741735,8.966277829084811,179.32555658169625,185.6019510620556,43.0381335796071,381.963435519013,8.966277829084811
1958,19.183513140706502,86.78255944605323,84.04205756880944,12.789008760470999,196.40263453580465,162.60311138313128,34.71302377842129,454.00981099672055,9.135006257479287
1959,15.454545454545455,90.9090909090909,77.27272727272727,10,325.45454545454544,170.9090909090909,43.63636363636364,389.09090909090907,3.6363636363636362
1960,13.366363101709114,74.85163336957102,88.21799647128013,8.910908734472741,349.3076223913315,149.70326673914204,33.86145319099642,382.27798470888064,4.455454367236371
1961,12.481278082875688,75.71975370277916,124.81278082875687,12.481278082875688,366.94957563654515,152.27159261108338,55.74970877017806,366.94957563654515,10.817107671825596
1962,13.524909701338169,86.71853867328592,100.2434483746241,15.116075548554425,343.69182299871113,171.05032857574744,65.23779973586647,401.76937642210453,6.364663388865021
1963,14.836795252225519,102.44453864631906,63.586265366680806,12.010739013706372,482.54910272714426,268.4753426593189,133.53115727002967,470.5383637134379,14.130281192595731
1964,15.421627290111651,118.4380975880575,34.5444451298501,9.869841465671458,557.0291777188329,336.80834001603847,165.93670964160137,599.592869039541,33.31071494664117
1965,10.184624611711186,78.0821220231191,79.7795594584043,9.618812133282788,385.3182978097399,246.69424059478206,76.3846845878339,430.5832960840118,19.237624266565575
1966,5.5498515414712655,83.24777312206899,96.56741682160002,13.319643699531039,472.2923661792047,212.55931403834947,96.56741682160002,475.62227710408746,21.644421011737936
1967,3.1241538749921896,102.57638556224356,113.51092412471623,19.786307874950534,765.9383916855851,297.8360027492554,89.5590777497761,472.788619748818,21.869077124945328
1968,6.2452560074558745,94.15924442010396,109.53218228461073,15.853342172772605,1248.5707971829092,338.68503732741476,123.46390722432,475.6002651831782,33.62830157860856
1969,3.250567688428444,97.98139746548594,132.80890841293353,19.50340613057066,1520.801311371879,347.3463758492108,102.62506559181229,468.08174713369584,32.50567688428443
1970,6.380283102275938,105.7304056948584,235.61474027690429,21.419521843354936,1425.9932733586722,343.6238185082898,129.42860007474044,467.1278699880598,37.370229599044784
