Id,Label,Class,Size,dis_class
BTF3P11,BTF3P11,GENE,1,INFLAMMATORY
BTLA,BTLA,GENE,1,INFLAMMATORY
BTNL2,BTNL2,GENE,1,INFLAMMATORY
BW52,BW52,GENE,1,INFLAMMATORY
C10ORF54,C10ORF54,GENE,1,INFLAMMATORY
C10ORF67,C10ORF67,GENE,1,INFLAMMATORY
C18ORF8,C18ORF8,GENE,1,INFLAMMATORY
C19ORF10,C19ORF10,GENE,1,INFLAMMATORY
C1ORF228,C1ORF228,GENE,1,INFLAMMATORY
C1QTNF6,C1QTNF6,GENE,1,INFLAMMATORY
C1R,C1R,GENE,1,INFLAMMATORY
C1S,C1S,GENE,1,INFLAMMATORY
C2,C2,GENE,1,INFLAMMATORY
C3,C3,GENE,1,INFLAMMATORY
C3AR1,C3AR1,GENE,1,INFLAMMATORY
C4A,C4A,GENE,1,INFLAMMATORY
C4B,C4B,GENE,1,INFLAMMATORY
C5,C5,GENE,1,INFLAMMATORY
C5AR1,C5AR1,GENE,1,INFLAMMATORY
C9ORF3,C9ORF3,GENE,1,INFLAMMATORY
CA1,CA1,GENE,1,INFLAMMATORY
CA2,CA2,GENE,1,INFLAMMATORY
CA5A,CA5A,GENE,1,INFLAMMATORY
CABIN1,CABIN1,GENE,1,INFLAMMATORY
CALCR,CALCR,GENE,1,INFLAMMATORY
CALR,CALR,GENE,1,INFLAMMATORY
CAMP,CAMP,GENE,1,INFLAMMATORY
CARD14,CARD14,GENE,1,INFLAMMATORY
CARD8,CARD8,GENE,1,INFLAMMATORY
CARD9,CARD9,GENE,1,INFLAMMATORY
CARS,CARS,GENE,1,INFLAMMATORY
CARS2,CARS2,GENE,1,INFLAMMATORY
CASP1,CASP1,GENE,1,INFLAMMATORY
CASP10,CASP10,GENE,1,INFLAMMATORY
CASP14,CASP14,GENE,1,INFLAMMATORY
CASP3,CASP3,GENE,1,INFLAMMATORY
CASP8,CASP8,GENE,1,INFLAMMATORY
CASR,CASR,GENE,1,INFLAMMATORY
CAT,CAT,GENE,1,INFLAMMATORY
CAV1,CAV1,GENE,1,INFLAMMATORY
CBS,CBS,GENE,1,INFLAMMATORY
CCDC183,CCDC183,GENE,1,INFLAMMATORY
CCHCR1,CCHCR1,GENE,1,INFLAMMATORY
CCL11,CCL11,GENE,1,INFLAMMATORY
CCL13,CCL13,GENE,1,INFLAMMATORY
CCL16,CCL16,GENE,1,INFLAMMATORY
CCL17,CCL17,GENE,1,INFLAMMATORY
CCL18,CCL18,GENE,1,INFLAMMATORY
CCL19,CCL19,GENE,1,INFLAMMATORY
CCL2,CCL2,GENE,1,INFLAMMATORY
CCL20,CCL20,GENE,1,INFLAMMATORY
CCL21,CCL21,GENE,1,INFLAMMATORY
CCL25,CCL25,GENE,1,INFLAMMATORY
CCL26,CCL26,GENE,1,INFLAMMATORY
CCL3,CCL3,GENE,1,INFLAMMATORY
CCL3L1,CCL3L1,GENE,1,INFLAMMATORY
CCL5,CCL5,GENE,1,INFLAMMATORY
CCL7,CCL7,GENE,1,INFLAMMATORY
CCND1,CCND1,GENE,1,INFLAMMATORY
CCR1,CCR1,GENE,1,INFLAMMATORY
CCR10,CCR10,GENE,1,INFLAMMATORY
CCR2,CCR2,GENE,1,INFLAMMATORY
CCR4,CCR4,GENE,1,INFLAMMATORY
CCR5,CCR5,GENE,1,INFLAMMATORY
CCR6,CCR6,GENE,1,INFLAMMATORY
CCR7,CCR7,GENE,1,INFLAMMATORY
CCR9,CCR9,GENE,1,INFLAMMATORY
CCT4,CCT4,GENE,1,INFLAMMATORY
CD109,CD109,GENE,1,INFLAMMATORY
CD14,CD14,GENE,1,INFLAMMATORY
CD163,CD163,GENE,1,INFLAMMATORY
CD180,CD180,GENE,1,INFLAMMATORY
CD19,CD19,GENE,1,INFLAMMATORY
CD1A,CD1A,GENE,1,INFLAMMATORY
CD1C,CD1C,GENE,1,INFLAMMATORY
CD1D,CD1D,GENE,1,INFLAMMATORY
CD2,CD2,GENE,1,INFLAMMATORY
CD200,CD200,GENE,1,INFLAMMATORY
CD200R1,CD200R1,GENE,1,INFLAMMATORY
CD209,CD209,GENE,1,INFLAMMATORY
CD22,CD22,GENE,1,INFLAMMATORY
CD226,CD226,GENE,1,INFLAMMATORY
CD24,CD24,GENE,1,INFLAMMATORY
CD247,CD247,GENE,1,INFLAMMATORY
CD248,CD248,GENE,1,INFLAMMATORY
CD27,CD27,GENE,1,INFLAMMATORY
CD274,CD274,GENE,1,INFLAMMATORY
CD276,CD276,GENE,1,INFLAMMATORY
CD28,CD28,GENE,1,INFLAMMATORY
CD34,CD34,GENE,1,INFLAMMATORY
CD38,CD38,GENE,1,INFLAMMATORY
CD4,CD4,GENE,1,INFLAMMATORY
CD40,CD40,GENE,1,INFLAMMATORY
CD40LG,CD40LG,GENE,1,INFLAMMATORY
CD44,CD44,GENE,1,INFLAMMATORY
CD5,CD5,GENE,1,INFLAMMATORY
CD55,CD55,GENE,1,INFLAMMATORY
CD6,CD6,GENE,1,INFLAMMATORY
CD68,CD68,GENE,1,INFLAMMATORY
CD69,CD69,GENE,1,INFLAMMATORY
CD70,CD70,GENE,1,INFLAMMATORY
CD72,CD72,GENE,1,INFLAMMATORY
CD74,CD74,GENE,1,INFLAMMATORY
CD79A,CD79A,GENE,1,INFLAMMATORY
CD80,CD80,GENE,1,INFLAMMATORY
CD83,CD83,GENE,1,INFLAMMATORY
CD86,CD86,GENE,1,INFLAMMATORY
CD8A,CD8A,GENE,1,INFLAMMATORY
CD97,CD97,GENE,1,INFLAMMATORY
CDH1,CDH1,GENE,1,INFLAMMATORY
CDH11,CDH11,GENE,1,INFLAMMATORY
CDK5,CDK5,GENE,1,INFLAMMATORY
CDK5R1,CDK5R1,GENE,1,INFLAMMATORY
CDK5R2,CDK5R2,GENE,1,INFLAMMATORY
CDK9,CDK9,GENE,1,INFLAMMATORY
CDKN1A,CDKN1A,GENE,1,INFLAMMATORY
CDKN2A,CDKN2A,GENE,1,INFLAMMATORY
CDR1,CDR1,GENE,1,INFLAMMATORY
CDR3,CDR3,GENE,1,INFLAMMATORY
CDSN,CDSN,GENE,1,INFLAMMATORY
CDX2,CDX2,GENE,1,INFLAMMATORY
CEACAM1,CEACAM1,GENE,1,INFLAMMATORY
